waypoint_index,solution_index,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,cf1,cf4,cf6,cfx,is_selected
37,1,-17.261011866530712,17.47647343876188,-26.186201919363842,3.902570189650118,-58.79909928530537,103.95817129426158,-1,0,1,7,1
38,0,-17.241676910315498,17.42615610853685,-26.105466819652058,-175.7092188460718,58.53121927084101,-76.25984049106674,-1,-2,-1,6,0
38,1,-17.241676910315498,17.42615610853685,-26.105466819652058,4.290781153928225,-58.53121927084101,103.74015950893326,-1,0,1,7,1
39,0,-17.222003537386904,17.37602693785419,-26.026077198414242,-175.318375396207,58.26357461607196,-76.48094967557414,-1,-2,-1,6,0
39,1,-17.222003537386904,17.37602693785419,-26.026077198414242,4.68162460379301,-58.26357461607196,103.51905032442588,-1,0,1,7,1
40,0,-17.21542101882256,17.310422538553723,-25.929251545051613,-175.00859839535767,57.9546029582868,-76.65895328345253,-1,-2,-1,6,0
40,1,-17.21542101882256,17.310422538553723,-25.929251545051613,4.99140160464234,-57.9546029582868,103.34104671654747,-1,0,1,7,1
41,0,-17.208570758535,17.244905691219753,-25.833649570316013,-174.69640437611315,57.64536564958081,-76.83983878048154,-1,-2,-1,6,0
41,1,-17.208570758535,17.244905691219753,-25.833649570316013,5.3035956238868565,-57.64536564958081,103.16016121951847,-1,0,1,7,1
42,0,-17.216759732113445,17.168963363458133,-25.728581785801648,-174.47686897887678,57.30121222324897,-76.97098827793947,-1,-2,-1,6,0
42,1,-17.216759732113445,17.168963363458133,-25.728581785801648,5.523131021123222,-57.30121222324897,103.02901172206055,-1,0,1,7,1
43,0,-17.22477560608255,17.09305277790955,-25.624664404119958,-174.25545038430917,56.95635994927491,-77.10445942138547,-1,-2,-1,6,0
43,1,-17.22477560608255,17.09305277790955,-25.624664404119958,5.744549615690836,-56.95635994927491,102.89554057861453,-1,0,1,7,1
44,0,-17.249285093030252,17.01217232009923,-25.519570645312943,-174.1354709367773,56.58440711196979,-77.18291785931603,-1,-2,-1,6,0
44,1,-17.249285093030252,17.01217232009923,-25.519570645312943,5.864529063222714,-56.58440711196979,102.81708214068397,-1,0,1,7,1
45,0,-17.273726781837286,16.93132444228003,-25.4156189175253,-174.01444239858097,56.21145657427193,-77.26280621665182,-1,-2,-1,6,0
45,1,-17.273726781837286,16.93132444228003,-25.4156189175253,5.98555760141904,-56.21145657427193,102.73719378334819,-1,0,1,7,1
46,0,-17.315529966833445,16.8511315126937,-25.31874929336866,-174.0004429220968,55.82046363378889,-77.28387926652901,-1,-2,-1,6,0
46,1,-17.315529966833445,16.8511315126937,-25.31874929336866,5.999557077903199,-55.82046363378889,102.716120733471,-1,0,1,7,1
47,0,-17.357365951220704,16.77103448542597,-25.2230884499415,-173.98647220264172,55.428361185687606,-77.30521438342636,-1,-2,-1,6,0
47,1,-17.357365951220704,16.77103448542597,-25.2230884499415,6.013527797358269,-55.428361185687606,102.69478561657365,-1,0,1,7,1
48,0,-17.416767000188567,16.69724897340579,-25.14252131593848,-174.081578751572,55.028185858296055,-77.26565675251035,-1,-2,-1,6,0
48,1,-17.416767000188567,16.69724897340579,-25.14252131593848,5.918421248427995,-55.028185858296055,102.73434324748965,-1,0,1,7,1
49,0,-17.47628124317061,16.623683659691682,-25.063306669425902,-174.17793870856133,54.62700763008729,-77.225017043591,-1,-2,-1,6,0
49,1,-17.47628124317061,16.623683659691682,-25.063306669425902,5.822061291438693,-54.62700763008729,102.774982956409,-1,0,1,7,1
50,0,-17.55270916411086,16.56195904711935,-25.006707345495656,-174.38114150378226,54.229041097719666,-77.12356314323213,-1,-2,-1,6,0
50,1,-17.55270916411086,16.56195904711935,-25.006707345495656,5.618858496217746,-54.229041097719666,102.87643685676787,-1,0,1,7,1
51,0,-17.629296657222152,16.500629465375074,-24.95166787107071,-174.58682795755544,53.83040202164242,-77.01965467048925,-1,-2,-1,6,0
51,1,-17.629296657222152,16.500629465375074,-24.95166787107071,5.413172042444549,-53.83040202164242,102.98034532951077,-1,0,1,7,1
52,0,-17.701394186232314,16.463656682276405,-24.92840256466855,-174.82249391031002,53.52291234143392,-76.89512259399712,-1,-2,-1,6,0
52,1,-17.701394186232314,16.463656682276405,-24.92840256466855,5.177506089690002,-53.52291234143392,103.1048774060029,-1,0,1,7,1
53,0,-17.7735962968371,16.42705197356575,-24.906269199084875,-175.06035228959857,53.215286497009544,-76.76832916060603,-1,-2,-1,6,0
53,1,-17.7735962968371,16.42705197356575,-24.906269199084875,4.939647710401449,-53.215286497009544,103.23167083939397,-1,0,1,7,1
