Continuity Violations Report: Traj_2_[1-62]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 62

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 55: Magnitude=4.4292, Type=large_step, Details=Step norm 253.8° exceeds limit 30.0°

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 43: Magnitude=0.8308, Ratio=0.96x limit
  Segment 43: Magnitude=3.4353, Ratio=1.97x limit
  Segment 43: Magnitude=6.1107, Ratio=2.55x limit
  Segment 44: Magnitude=0.6351, Ratio=1.01x limit
  Segment 44: Magnitude=0.7352, Ratio=0.85x limit
  Segment 44: Magnitude=5.3876, Ratio=3.09x limit
  Segment 44: Magnitude=7.4217, Ratio=3.09x limit
  Segment 45: Magnitude=0.6163, Ratio=0.98x limit
  Segment 45: Magnitude=0.8592, Ratio=1.00x limit
  Segment 45: Magnitude=6.3416, Ratio=3.63x limit
  Segment 45: Magnitude=8.3063, Ratio=3.46x limit
  Segment 46: Magnitude=0.8350, Ratio=0.94x limit
  Segment 46: Magnitude=0.7617, Ratio=1.21x limit
  Segment 46: Magnitude=0.9619, Ratio=1.12x limit
  Segment 46: Magnitude=9.4287, Ratio=5.40x limit
  Segment 46: Magnitude=11.0093, Ratio=4.59x limit
  Segment 47: Magnitude=0.9238, Ratio=1.04x limit
  Segment 47: Magnitude=0.9204, Ratio=1.46x limit
  Segment 47: Magnitude=1.0655, Ratio=1.24x limit
  Segment 47: Magnitude=12.2022, Ratio=6.99x limit
  Segment 47: Magnitude=13.0281, Ratio=5.43x limit
  Segment 48: Magnitude=1.0001, Ratio=1.12x limit
  Segment 48: Magnitude=1.0788, Ratio=1.72x limit
  Segment 48: Magnitude=1.3003, Ratio=1.51x limit
  Segment 48: Magnitude=15.4640, Ratio=8.86x limit
  Segment 48: Magnitude=1.6519, Ratio=1.14x limit
  Segment 48: Magnitude=15.9605, Ratio=6.66x limit
  Segment 49: Magnitude=0.9156, Ratio=1.03x limit
  Segment 49: Magnitude=1.1756, Ratio=1.87x limit
  Segment 49: Magnitude=1.2547, Ratio=1.46x limit
  Segment 49: Magnitude=17.2562, Ratio=9.89x limit
  Segment 49: Magnitude=2.9233, Ratio=2.02x limit
  Segment 49: Magnitude=16.4597, Ratio=6.86x limit
  Segment 50: Magnitude=0.8212, Ratio=0.92x limit
  Segment 50: Magnitude=1.2670, Ratio=2.02x limit
  Segment 50: Magnitude=1.3770, Ratio=1.60x limit
  Segment 50: Magnitude=18.8311, Ratio=10.79x limit
  Segment 50: Magnitude=3.9304, Ratio=2.71x limit
  Segment 50: Magnitude=17.2558, Ratio=7.20x limit
  Segment 51: Magnitude=1.3117, Ratio=2.09x limit
  Segment 51: Magnitude=1.3298, Ratio=1.54x limit
  Segment 51: Magnitude=17.8731, Ratio=10.24x limit
  Segment 51: Magnitude=5.2908, Ratio=3.65x limit
  Segment 51: Magnitude=15.0378, Ratio=6.27x limit
  Segment 52: Magnitude=1.3036, Ratio=2.07x limit
  Segment 52: Magnitude=1.3621, Ratio=1.58x limit
  Segment 52: Magnitude=16.1835, Ratio=9.27x limit
  Segment 52: Magnitude=6.3296, Ratio=4.37x limit
  Segment 52: Magnitude=12.5850, Ratio=5.25x limit
  Segment 53: Magnitude=1.2172, Ratio=1.94x limit
  Segment 53: Magnitude=1.2104, Ratio=1.40x limit
  Segment 53: Magnitude=11.9073, Ratio=6.82x limit
  Segment 53: Magnitude=7.2403, Ratio=5.00x limit
  Segment 53: Magnitude=7.3617, Ratio=3.07x limit
  Segment 54: Magnitude=1.0727, Ratio=1.71x limit
  Segment 54: Magnitude=1.0941, Ratio=1.27x limit
  Segment 54: Magnitude=6512.9224, Ratio=3731.63x limit
  Segment 54: Magnitude=1888.7993, Ratio=1303.86x limit
  Segment 54: Magnitude=6517.9533, Ratio=2717.99x limit
  Segment 55: Magnitude=0.9769, Ratio=1.55x limit
  Segment 55: Magnitude=1.0092, Ratio=1.17x limit
  Segment 55: Magnitude=7053.3746, Ratio=4041.29x limit
  Segment 55: Magnitude=2014.4983, Ratio=1390.63x limit
  Segment 55: Magnitude=7047.8796, Ratio=2938.96x limit
  Segment 56: Magnitude=7.9046, Ratio=5.46x limit
  Segment 56: Magnitude=5.8770, Ratio=2.45x limit
  Segment 57: Magnitude=0.5394, Ratio=0.86x limit
  Segment 57: Magnitude=1.1384, Ratio=1.32x limit
  Segment 57: Magnitude=7.4334, Ratio=4.26x limit
  Segment 57: Magnitude=6.9815, Ratio=4.82x limit
  Segment 57: Magnitude=14.0669, Ratio=5.87x limit
  Segment 58: Magnitude=0.9851, Ratio=1.11x limit
  Segment 58: Magnitude=4.0828, Ratio=6.50x limit
  Segment 58: Magnitude=6.1969, Ratio=7.19x limit
  Segment 58: Magnitude=27.8417, Ratio=15.95x limit
  Segment 58: Magnitude=2.3705, Ratio=1.64x limit
  Segment 58: Magnitude=34.5892, Ratio=14.42x limit
  Segment 59: Magnitude=3.6363, Ratio=4.09x limit
  Segment 59: Magnitude=10.9635, Ratio=17.45x limit
  Segment 59: Magnitude=15.9272, Ratio=18.47x limit
  Segment 59: Magnitude=79.4770, Ratio=45.54x limit
  Segment 59: Magnitude=11.9392, Ratio=8.24x limit
  Segment 59: Magnitude=85.9241, Ratio=35.83x limit
