x,y,z,qw,qx,qy,qz
-0.4215200676330618,-0.9703650720263206,0.4505064977070806,-0.116898722314084,0.704900616441466,-0.689038742799576,0.121140217522068
-0.42148743610089506,-0.9724245166595487,0.4505525735768658,-0.11638723186366601,0.701572793900924,-0.6928070657101639,0.11944271558733599
-0.4214552050268323,-0.9744844359215464,0.4505386526603966,-0.11687935293231001,0.7037260864691101,-0.690317512276906,0.12070597510210801
-0.4214226402376829,-0.9765439596595695,0.4505747290658061,-0.116278007153418,0.702740468840264,-0.6915914139711379,0.119733983660336
-0.42139027567758547,-0.9786037207119773,0.45058080707808834,-0.11630501656004999,0.703555629464126,-0.69070206461121,0.12004786464252999
-0.4213577776314534,-0.9806633235547952,0.450606884019122,-0.116238809325902,0.703916861258468,-0.6903360160380599,0.12010512953929199
-0.4213252795853213,-0.9827229263976133,0.45063296096015576,-0.116390506491268,0.702622341734034,-0.6916779854377121,0.11981020841460799
-0.42129284828220653,-0.9847826083452262,0.4506490384368137,-0.11578249557751201,0.704709384955746,-0.689637455029662,0.11990530303428601
-0.4212602834930571,-0.9868421320832492,0.4506851148422232,-0.115773221977454,0.701800901955496,-0.6927749857212979,0.118885886661742
-0.421227985675977,-0.9889019722404521,0.45068119339012974,-0.11585860422435403,0.70431592857862,-0.6900377377244,0.119846789098526
-0.4211954208868276,-0.9909614959784752,0.4507172697955392,-0.11689600175683,0.70180121177449,-0.6923845636426259,0.12004866881962399
-0.42116312306974757,-0.993021336135678,0.4507133483434458,-0.11546300970525401,0.70309399363227,-0.69149326684515,0.11901116781747
-0.4211307585096501,-0.9950810971880858,0.45071942635572804,-0.116582265519958,0.7019324444618861,-0.692353161374342,0.11977054260428999
-0.42109846069257,-0.9971409373452886,0.4507155049036346,-0.116541116427624,0.703484420526622,-0.6906961865093239,0.120268974207778
-0.4210659626464379,-0.9992005401881067,0.45074158184466834,-0.115455955490594,0.706012142691472,-0.688338675450072,0.120020005856444
-0.4210331976282365,-1.0012598266117447,0.4508076566432049,-0.11656039204839799,0.6993775618806141,-0.695092845392954,0.11886373445861198
-0.42100116678322574,-1.0033199831881274,0.4507637373336087,-0.1170641806757,0.704269590725054,-0.689663904693176,0.121091170813724
-0.4209686019940763,-1.0053795069261504,0.45079981373901806,-0.11676374289568602,0.702295537917888,-0.6918999438624379,0.12008503164913001
